20.5457,1931,6,HUN,,
22.1579,1931,7,HUN,,
19.8682,1931,8,HUN,,
12.5074,1931,9,HUN,,
9.53288,1931,10,HUN,,
4.02496,1931,11,HUN,,
-1.599,1931,12,HUN,,
-2.6947,1932,1,HUN,,
-4.9054,1932,2,HUN,,
0.63599,1932,3,HUN,,
10.0113,1932,4,HUN,,
15.9951,1932,5,HUN,,
17.5797,1932,6,HUN,,
22.2827,1932,7,HUN,,
21.1399,1932,8,HUN,,
19.4422,1932,9,HUN,,
12.4284,1932,10,HUN,,
4.37328,1932,11,HUN,,
0.25468,1932,12,HUN,,
-3.6729,1933,1,HUN,,
0.76763,1933,2,HUN,,
5.45141,1933,3,HUN,,
7.90423,1933,4,HUN,,
13.8755,1933,5,HUN,,
16.1153,1933,6,HUN,,
20.5001,1933,7,HUN,,
19.6565,1933,8,HUN,,
14.9729,1933,9,HUN,,
10.8734,1933,10,HUN,,
5.21116,1933,11,HUN,,
-5.0929,1933,12,HUN,,
-2.6133,1934,1,HUN,,
0.2555,1934,2,HUN,,
8.36916,1934,3,HUN,,
13.5621,1934,4,HUN,,
17.5625,1934,5,HUN,,
18.2365,1934,6,HUN,,
20.6464,1934,7,HUN,,
20.4377,1934,8,HUN,,
17.2706,1934,9,HUN,,
11.049,1934,10,HUN,,
6.7007,1934,11,HUN,,
3.81974,1934,12,HUN,,
-3.898,1935,1,HUN,,
-0.5337,1935,2,HUN,,
3.79105,1935,3,HUN,,
10.1641,1935,4,HUN,,
13.8237,1935,5,HUN,,
20.71,1935,6,HUN,,
20.5963,1935,7,HUN,,
19.8711,1935,8,HUN,,
16.2839,1935,9,HUN,,
13.3728,1935,10,HUN,,
4.49534,1935,11,HUN,,
1.0758,1935,12,HUN,,
3.21386,1936,1,HUN,,
1.27114,1936,2,HUN,,
7.83337,1936,3,HUN,,
10.5594,1936,4,HUN,,
16.4908,1936,5,HUN,,
18.225,1936,6,HUN,,
22.4515,1936,7,HUN,,
18.5304,1936,8,HUN,,
15.044,1936,9,HUN,,
7.24636,1936,10,HUN,,
4.52181,1936,11,HUN,,
-0.1904,1936,12,HUN,,
-3.9316,1937,1,HUN,,
1.46265,1937,2,HUN,,
7.23449,1937,3,HUN,,
9.77045,1937,4,HUN,,
17.8304,1937,5,HUN,,
20.2914,1937,6,HUN,,
20.4424,1937,7,HUN,,
19.5954,1937,8,HUN,,
17.2213,1937,9,HUN,,
10.9596,1937,10,HUN,,
4.90666,1937,11,HUN,,
0.12028,1937,12,HUN,,
-2.0012,1938,1,HUN,,
0.87505,1938,2,HUN,,
7.27204,1938,3,HUN,,
7.77654,1938,4,HUN,,
13.9938,1938,5,HUN,,
20.7016,1938,6,HUN,,
21.1956,1938,7,HUN,,
19.9,1938,8,HUN,,
15.2759,1938,9,HUN,,
11.7746,1938,10,HUN,,
6.57935,1938,11,HUN,,
-1.1216,1938,12,HUN,,
0.73724,1939,1,HUN,,
2.39632,1939,2,HUN,,
2.50076,1939,3,HUN,,
12.9589,1939,4,HUN,,
14.45,1939,5,HUN,,
19.3786,1939,6,HUN,,
21.5886,1939,7,HUN,,
20.427,1939,8,HUN,,
15.5197,1939,9,HUN,,
9.82385,1939,10,HUN,,
5.32105,1939,11,HUN,,
-0.757,1939,12,HUN,,
-8.7132,1940,1,HUN,,
-5.8547,1940,2,HUN,,
1.53415,1940,3,HUN,,
10.3376,1940,4,HUN,,
13.603,1940,5,HUN,,
18.1634,1940,6,HUN,,
19.6575,1940,7,HUN,,
17.0199,1940,8,HUN,,
15.6162,1940,9,HUN,,
10.2115,1940,10,HUN,,
7.23331,1940,11,HUN,,
-4.5896,1940,12,HUN,,
-3.835,1941,1,HUN,,
1.61399,1941,2,HUN,,
5.15373,1941,3,HUN,,
9.28452,1941,4,HUN,,
12.6506,1941,5,HUN,,
17.8664,1941,6,HUN,,
19.6239,1941,7,HUN,,
18.7553,1941,8,HUN,,
13.3521,1941,9,HUN,,
9.02572,1941,10,HUN,,
1.58819,1941,11,HUN,,
0.10567,1941,12,HUN,,
-9.9586,1942,1,HUN,,
-3.5384,1942,2,HUN,,
1.8372,1942,3,HUN,,
8.67314,1942,4,HUN,,
15.5037,1942,5,HUN,,
18.6871,1942,6,HUN,,
20.1307,1942,7,HUN,,
20.5866,1942,8,HUN,,
19.7361,1942,9,HUN,,
12.136,1942,10,HUN,,
3.65011,1942,11,HUN,,
1.5437,1942,12,HUN,,
-5.3011,1943,1,HUN,,
2.49126,1943,2,HUN,,
5.97113,1943,3,HUN,,
11.6523,1943,4,HUN,,
13.966,1943,5,HUN,,
17.2671,1943,6,HUN,,
20.4522,1943,7,HUN,,
22.6548,1943,8,HUN,,
18.0489,1943,9,HUN,,
12.3605,1943,10,HUN,,
4.24556,1943,11,HUN,,
0.44077,1943,12,HUN,,
0.82852,1944,1,HUN,,
-0.6599,1944,2,HUN,,
1.92893,1944,3,HUN,,
10.608,1944,4,HUN,,
13.9026,1944,5,HUN,,
18.2634,1944,6,HUN,,
19.8984,1944,7,HUN,,
21.7537,1944,8,HUN,,
16.1429,1944,9,HUN,,
12.2957,1944,10,HUN,,
4.85221,1944,11,HUN,,
-0.5224,1944,12,HUN,,
-4.4859,1945,1,HUN,,
1.19267,1945,2,HUN,,
5.8047,1945,3,HUN,,
11.0376,1945,4,HUN,,
17.2262,1945,5,HUN,,
19.7397,1945,6,HUN,,
21.2436,1945,7,HUN,,
20.2234,1945,8,HUN,,
16.1427,1945,9,HUN,,
10.0724,1945,10,HUN,,
4.45917,1945,11,HUN,,
0.62169,1945,12,HUN,,
-4.4245,1946,1,HUN,,
1.5171,1946,2,HUN,,
6.17818,1946,3,HUN,,
13.1328,1946,4,HUN,,
17.8309,1946,5,HUN,,
20.2711,1946,6,HUN,,
22.5172,1946,7,HUN,,
22.278,1946,8,HUN,,
18.2353,1946,9,HUN,,
6.96056,1946,10,HUN,,
5.39007,1946,11,HUN,,
-1.6486,1946,12,HUN,,
-7.3581,1947,1,HUN,,
-2.9466,1947,2,HUN,,
6.35329,1947,3,HUN,,
12.8832,1947,4,HUN,,
16.8378,1947,5,HUN,,
20.1528,1947,6,HUN,,
22.0458,1947,7,HUN,,
20.5721,1947,8,HUN,,
19.3898,1947,9,HUN,,
9.03916,1947,10,HUN,,
6.10752,1947,11,HUN,,
1.38676,1947,12,HUN,,
3.15074,1948,1,HUN,,
0.0089,1948,2,HUN,,
5.87069,1948,3,HUN,,
12.6274,1948,4,HUN,,
16.9703,1948,5,HUN,,
17.7111,1948,6,HUN,,
18.9029,1948,7,HUN,,
20.4568,1948,8,HUN,,
17.0625,1948,9,HUN,,
11.3895,1948,10,HUN,,
3.35585,1948,11,HUN,,
-3.6592,1948,12,HUN,,
0.36604,1949,1,HUN,,
1.00672,1949,2,HUN,,
2.64117,1949,3,HUN,,
12.1162,1949,4,HUN,,
16.4056,1949,5,HUN,,
16.8679,1949,6,HUN,,
19.8543,1949,7,HUN,,
19.1174,1949,8,HUN,,
17.2555,1949,9,HUN,,
11.4725,1949,10,HUN,,
7.01445,1949,11,HUN,,
2.23791,1949,12,HUN,,
-4.4086,1950,1,HUN,,
1.09892,1950,2,HUN,,
6.59089,1950,3,HUN,,
11.6785,1950,4,HUN,,
17.4975,1950,5,HUN,,
20.4901,1950,6,HUN,,
22.8121,1950,7,HUN,,
21.46,1950,8,HUN,,
16.8459,1950,9,HUN,,
9.04891,1950,10,HUN,,
5.59366,1950,11,HUN,,
2.56326,1950,12,HUN,,
1.39528,1951,1,HUN,,
3.40787,1951,2,HUN,,
5.46246,1951,3,HUN,,
10.7701,1951,4,HUN,,
15.0742,1951,5,HUN,,
19.0065,1951,6,HUN,,
20.2594,1951,7,HUN,,
21.1082,1951,8,HUN,,
17.6138,1951,9,HUN,,
9.12449,1951,10,HUN,,
7.43177,1951,11,HUN,,
1.03489,1951,12,HUN,,
-0.3446,1952,1,HUN,,
0.12187,1952,2,HUN,,
1.74519,1952,3,HUN,,
13.3349,1952,4,HUN,,
14.189,1952,5,HUN,,
18.8306,1952,6,HUN,,
22.2149,1952,7,HUN,,
22.6542,1952,8,HUN,,
15.0942,1952,9,HUN,,
10.1366,1952,10,HUN,,
4.2598,1952,11,HUN,,
0.27976,1952,12,HUN,,
-0.3733,1953,1,HUN,,
0.48697,1953,2,HUN,,
4.6731,1953,3,HUN,,
11.2963,1953,4,HUN,,
14.2996,1953,5,HUN,,
19.2357,1953,6,HUN,,
21.3948,1953,7,HUN,,
18.6546,1953,8,HUN,,
16.873,1953,9,HUN,,
12.0221,1953,10,HUN,,
3.1584,1953,11,HUN,,
-0.4944,1953,12,HUN,,
-6.978,1954,1,HUN,,
-6.0544,1954,2,HUN,,
5.95766,1954,3,HUN,,
7.82256,1954,4,HUN,,
14.8344,1954,5,HUN,,
20.0613,1954,6,HUN,,
18.5528,1954,7,HUN,,
19.8345,1954,8,HUN,,
17.1111,1954,9,HUN,,
9.92011,1954,10,HUN,,
4.47759,1954,11,HUN,,
2.74253,1954,12,HUN,,
-1.8093,1955,1,HUN,,
0.77077,1955,2,HUN,,
3.03224,1955,3,HUN,,
7.46616,1955,4,HUN,,
14.0239,1955,5,HUN,,
17.9006,1955,6,HUN,,
19.5907,1955,7,HUN,,
18.6077,1955,8,HUN,,
15.9319,1955,9,HUN,,
10.6453,1955,10,HUN,,
4.62085,1955,11,HUN,,
2.37406,1955,12,HUN,,
0.37476,1956,1,HUN,,
-7.7534,1956,2,HUN,,
1.56178,1956,3,HUN,,
10.052,1956,4,HUN,,
14.8554,1956,5,HUN,,
17.8346,1956,6,HUN,,
20.5011,1956,7,HUN,,
19.9751,1956,8,HUN,,
16.557,1956,9,HUN,,
9.74999,1956,10,HUN,,
1.29778,1956,11,HUN,,
-0.2259,1956,12,HUN,,
-2.9311,1957,1,HUN,,
3.4335,1957,2,HUN,,
6.26332,1957,3,HUN,,
10.8208,1957,4,HUN,,
12.7275,1957,5,HUN,,
20.7689,1957,6,HUN,,
21.0033,1957,7,HUN,,
19.2167,1957,8,HUN,,
15.2413,1957,9,HUN,,
10.1038,1957,10,HUN,,
5.98491,1957,11,HUN,,
0.13228,1957,12,HUN,,
-1.9537,1958,1,HUN,,
3.06096,1958,2,HUN,,
1.1076,1958,3,HUN,,
7.99009,1958,4,HUN,,
19.0408,1958,5,HUN,,
17.6713,1958,6,HUN,,
21.0927,1958,7,HUN,,
20.4922,1958,8,HUN,,
16.0622,1958,9,HUN,,
10.9392,1958,10,HUN,,
5.81227,1958,11,HUN,,
2.64257,1958,12,HUN,,
-0.8079,1959,1,HUN,,
-1.1575,1959,2,HUN,,
7.51626,1959,3,HUN,,
10.7551,1959,4,HUN,,
15.0167,1959,5,HUN,,
17.9678,1959,6,HUN,,
21.3699,1959,7,HUN,,
19.3947,1959,8,HUN,,
14.1378,1959,9,HUN,,
9.19522,1959,10,HUN,,
4.97597,1959,11,HUN,,
3.5034,1959,12,HUN,,
-2.4112,1960,1,HUN,,
-0.205,1960,2,HUN,,
5.77804,1960,3,HUN,,
10.1657,1960,4,HUN,,
14.3617,1960,5,HUN,,
18.9481,1960,6,HUN,,
18.7266,1960,7,HUN,,
19.5884,1960,8,HUN,,
14.5488,1960,9,HUN,,
12.061,1960,10,HUN,,
7.3899,1960,11,HUN,,
3.85548,1960,12,HUN,,
-2.0902,1961,1,HUN,,
1.82266,1961,2,HUN,,
7.79094,1961,3,HUN,,
13.4277,1961,4,HUN,,
13.5378,1961,5,HUN,,
19.3992,1961,6,HUN,,
18.9793,1961,7,HUN,,
19.7912,1961,8,HUN,,
17.8204,1961,9,HUN,,
12.646,1961,10,HUN,,
5.98616,1961,11,HUN,,
-0.972,1961,12,HUN,,
-0.3442,1962,1,HUN,,
-0.245,1962,2,HUN,,
1.46322,1962,3,HUN,,
11.7806,1962,4,HUN,,
14.1851,1962,5,HUN,,
16.731,1962,6,HUN,,
18.3659,1962,7,HUN,,
21.3585,1962,8,HUN,,
15.1926,1962,9,HUN,,
10.7217,1962,10,HUN,,
5.65659,1962,11,HUN,,
-3.2491,1962,12,HUN,,
-7.3042,1963,1,HUN,,
-4.4854,1963,2,HUN,,
2.40695,1963,3,HUN,,
11.4266,1963,4,HUN,,
15.892,1963,5,HUN,,
19.4147,1963,6,HUN,,
21.7574,1963,7,HUN,,
20.6796,1963,8,HUN,,
17.0312,1963,9,HUN,,
10.1916,1963,10,HUN,,
8.83669,1963,11,HUN,,
-4.6733,1963,12,HUN,,
-8.2624,1964,1,HUN,,
-1.1942,1964,2,HUN,,
2.13648,1964,3,HUN,,
11.1584,1964,4,HUN,,
14.5459,1964,5,HUN,,
21.2541,1964,6,HUN,,
20.3446,1964,7,HUN,,
18.5388,1964,8,HUN,,
15.4532,1964,9,HUN,,
10.5806,1964,10,HUN,,
6.397,1964,11,HUN,,
-0.1589,1964,12,HUN,,
-0.5585,1965,1,HUN,,
-3.3156,1965,2,HUN,,
4.99469,1965,3,HUN,,
8.80694,1965,4,HUN,,
13.4197,1965,5,HUN,,
18.1549,1965,6,HUN,,
19.2902,1965,7,HUN,,
17.4807,1965,8,HUN,,
16.1974,1965,9,HUN,,
9.20733,1965,10,HUN,,
2.58733,1965,11,HUN,,
1.48864,1965,12,HUN,,
-4.4599,1966,1,HUN,,
5.66435,1966,2,HUN,,
4.93724,1966,3,HUN,,
12.2044,1966,4,HUN,,
15.5344,1966,5,HUN,,
18.1522,1966,6,HUN,,
19.0978,1966,7,HUN,,
18.892,1966,8,HUN,,
15.6469,1966,9,HUN,,
14.5504,1966,10,HUN,,
4.72545,1966,11,HUN,,
0.69593,1966,12,HUN,,
-3.6476,1967,1,HUN,,
0.81858,1967,2,HUN,,
6.52151,1967,3,HUN,,
9.91588,1967,4,HUN,,
15.359,1967,5,HUN,,
17.9813,1967,6,HUN,,
21.7381,1967,7,HUN,,
20.1628,1967,8,HUN,,
17.5853,1967,9,HUN,,
12.3288,1967,10,HUN,,
4.9393,1967,11,HUN,,
-0.7135,1967,12,HUN,,
-3.0583,1968,1,HUN,,
2.46113,1968,2,HUN,,
5.65742,1968,3,HUN,,
12.4598,1968,4,HUN,,
16.0921,1968,5,HUN,,
19.6854,1968,6,HUN,,
19.7933,1968,7,HUN,,
18.3754,1968,8,HUN,,
15.7028,1968,9,HUN,,
10.5756,1968,10,HUN,,
6.44223,1968,11,HUN,,
-2.2455,1968,12,HUN,,
-4.1941,1969,1,HUN,,
-0.4288,1969,2,HUN,,
3.11936,1969,3,HUN,,
9.7184,1969,4,HUN,,
17.5691,1969,5,HUN,,
17.4172,1969,6,HUN,,
19.9431,1969,7,HUN,,
18.5447,1969,8,HUN,,
16.0708,1969,9,HUN,,
10.8466,1969,10,HUN,,
7.5172,1969,11,HUN,,
-2.7168,1969,12,HUN,,
-1.7976,1970,1,HUN,,
-0.247,1970,2,HUN,,
3.90854,1970,3,HUN,,
9.80222,1970,4,HUN,,
13.3596,1970,5,HUN,,
18.9423,1970,6,HUN,,
19.5275,1970,7,HUN,,
19.3468,1970,8,HUN,,
14.9446,1970,9,HUN,,
9.29749,1970,10,HUN,,
7.24873,1970,11,HUN,,
0.38049,1970,12,HUN,,
-1.7855,1971,1,HUN,,
2.11059,1971,2,HUN,,
2.67104,1971,3,HUN,,
10.9649,1971,4,HUN,,
17.09,1971,5,HUN,,
17.6616,1971,6,HUN,,
20.0725,1971,7,HUN,,
21.0866,1971,8,HUN,,
13.7863,1971,9,HUN,,
9.24187,1971,10,HUN,,
4.43678,1971,11,HUN,,
2.0303,1971,12,HUN,,
-1.9012,1972,1,HUN,,
3.03823,1972,2,HUN,,
7.46034,1972,3,HUN,,
11.4655,1972,4,HUN,,
15.0399,1972,5,HUN,,
19.2688,1972,6,HUN,,
20.8073,1972,7,HUN,,
18.6738,1972,8,HUN,,
13.0662,1972,9,HUN,,
8.41315,1972,10,HUN,,
5.03335,1972,11,HUN,,
0.30667,1972,12,HUN,,
-1.1713,1973,1,HUN,,
2.0371,1973,2,HUN,,
5.04552,1973,3,HUN,,
9.0593,1973,4,HUN,,
15.9487,1973,5,HUN,,
18.14,1973,6,HUN,,
19.8215,1973,7,HUN,,
